username,rating pengguna,review,tanggal
Pengguna Google,1,"kenapa sinyal daerah lemahneundeut cicadas bandung kosong ga ada satupun sinyalnya sudah 10 hari,sudah dicoba semuanya tetap sama saja sinyal kosong,apakah tidak ada perbaikan ataupun perawatan dari pihak terkait",2026-06-22 09:24:49
Pengguna Google,1,sinyal buruk dan tidak memuaskan,2026-06-22 09:24:09
Pengguna Google,5,sinyal tolong di bikin cepat,2026-06-22 09:20:00
Pengguna Google,1,"akhir-akhir ini jaringannya makin parah, lemot bgt yaampun, jangankan streaming film, kirim pesan WA pun sering pending, apalagi sering tiba-tiba di arahkan ke web tanpa sebab, mana pas push rank lg, sangat-sangat kecewa, tolong dong kualitasnya lebih ditingkatkan lagi",2026-06-22 09:17:35
Pengguna Google,3,jaringan m3 skarang knapa jelek yah pake internetan ajah muter terus sinyalnya jelek ..,2026-06-22 09:08:25
Pengguna Google,1,baru beli paket langsung ilang tiba tiba aplikasi konyol,2026-06-22 09:04:47
Pengguna Google,1,"tiap buka aplikasi kok sering mengalami gangguan.. sekalinya bisa masuk lemotnya minta ampun, menu² dan pilihan² paket tidak muncul padahal sinyal bagus pakai WiFi.. hapus ae hapus aplikasinya dari playstore sekalian.. mana sering kali tiba² muncul pop up error dari IM3.. gak jelas!.",2026-06-22 09:03:48
Pengguna Google,5,sangat memuaskan,2026-06-22 09:01:57
Pengguna Google,1,monyet m3 gangguan aja,2026-06-22 08:47:38
Pengguna Google,5,bgus,2026-06-22 08:33:35
Pengguna Google,5,👍,2026-06-22 08:31:57
Pengguna Google,5,super cepat,2026-06-22 08:29:42
Pengguna Google,5,saya sangat puas dengan im3,2026-06-22 08:24:18
Pengguna Google,1,Aplikasi sangat mengganggu karena selalu memaksa buka browser ke halaman promo upgrade meski sudah update. Sangat tidak user-friendly.,2026-06-22 08:13:39
Pengguna Google,4,puas,2026-06-22 08:08:45
Pengguna Google,1,KARTU BUUSUK LAG MLU,2026-06-22 07:45:43
Pengguna Google,1,satu kata untuk provider IM3.. MAHALLLLLL SANGAT MAHAL,2026-06-22 07:44:14
Pengguna Google,3,terlalu banyak iklan,2026-06-22 07:42:00
Pengguna Google,3,"maaf sebelumnya , saya tinggal di kabupaten Malang , di tempat saya jika ada pemadaman listrik ,jaringan IM3 nya hilang ,tidak tahu jika di tempat lain .dan sangat sering ,dalam 1 Minggu hampir 3 x pemadaman listriknya , jadinya saat di butuhkan dan sangat penting saya tidak bisa memberitahu keluarga saya melalui hp ,karna jaringannya juga tidak ada Karena ada pemadaman listrik. seandainya saja saat pemadaman listrik jaringan IM3 bisa menyala orang orang di tempat saya pasti lebih senang lagi",2026-06-22 07:40:31
Pengguna Google,5,banyakin promo untuk kartu lama,2026-06-22 07:33:15
Pengguna Google,1,sinyal sangat 1000x tidak bagus,2026-06-22 07:26:56
Pengguna Google,5,murah,2026-06-22 07:24:42
Pengguna Google,5,mantap,2026-06-22 07:24:37
Pengguna Google,4,"im3 kalo lagi mati lampu sinyal suka ga ada,tolong ya diperhatikan,trimakasih",2026-06-22 07:23:33
Pengguna Google,2,jaringanya masih pilih pilih tempat,2026-06-22 07:16:01
Pengguna Google,1,ternyata Bkn cm ak ya yg sinyal hilang pdhl kuota dan masa aktf masih pnjg. gimana nih reapon dong masa kuota msih bnyk gk bs d pake ngecewain bgt bru aja pk 2 minggu huhh. apakah kalian maling kuota kamiii?? balikin dong,2026-06-22 07:13:50
Pengguna Google,5,bgs bnget sukaaa mendukung bnget klu malsh,2026-06-22 07:11:18
Pengguna Google,1,"ada aja gebrakan nya tuh ya, sekarang lagi doyan nyedot pulsa tanpa sebab ya? gapunya utang pulsa darurat tapi tiba-tiba pulsa kesedot, ngisi pulsa 15k jadi tinggal 11k hadeh sering banget kejadian begini gmna dong tolong di atasi edit: skrg sisa 5k🥰",2026-06-22 07:02:57
Pengguna Google,5,baik sekali ini membantuku,2026-06-22 07:01:06
Pengguna Google,5,jangan tiap Minggu harga paketnya dinaikin,2026-06-22 06:52:54
Pengguna Google,1,"masih ada sistem preman seperti indosat yang menjebak pelanggan untuk pindah dari kartu prabayar jadi pascabayar, setelah pindah sulit untuk berhenti, sinyal buruk pelayanan pakai robot dan diulang-ulang pertanyaan yang sama, ujung-ujungnya tidak bisa",2026-06-22 06:51:54
Pengguna Google,1,"sinyal lemot banget, selalu hilang2ngan sinyal ya, laporan lewat aplikasi d arahkn k whassap, giliran tp yg jawab robot, engga ada solusi ya",2026-06-22 06:48:18
Pengguna Google,5,good 👍,2026-06-22 06:39:15
Pengguna Google,1,"gua lagi push rank gila, jaringan udha 1 Minggu ngga jelas bet ngelag parah, udah restart device on/of hp tetep aja jelek jaringannya, ngga jelas bet kocak",2026-06-22 06:38:18
Pengguna Google,5,mantap,2026-06-22 06:36:08
Pengguna Google,5,sangat memuaskan,2026-06-22 06:35:41
Pengguna Google,5,mantap,2026-06-22 06:30:30
Pengguna Google,5,bagus,2026-06-22 06:27:30
Pengguna Google,1,"kenapa saat pencet aplikasi sering muncul ,ups ada gangguan tolong di benerin",2026-06-22 06:13:09
Pengguna Google,5,seneng banget pakek im3,2026-06-22 06:12:38
Pengguna Google,1,tolong lah jaringan apa ni cu jelek banget padahal pas buka TT ms nya 70 pas main Roblox ms nya nyampe 10000 ajg,2026-06-22 06:00:39
Pengguna Google,1,"tinggal dijakarta tapi sinyal sering ilang,Kouta doang dimahalin,,SAMPAH",2026-06-22 06:00:11
Pengguna Google,1,"asu asu mikir napa gw ngisi pulsa 50k habis di sedot mana aku ada hutang paket 7gb lagi mending pulsa 50k kesedot buat ganttin bayar paket yang 7gb lah itu engga paket kesedot paket belum terbayarkan, untuk jimin aku sarankan kek MY XL tuh ada fitur Anti serot pulsa bener bener kecewa saya kali ini 👎👎👎",2026-06-22 05:58:01
Pengguna Google,5,ok,2026-06-22 05:57:11
Pengguna Google,5,mengesankan,2026-06-22 05:53:12
Pengguna Google,3,lemot,2026-06-22 05:36:26
Pengguna Google,5,baik,2026-06-22 05:27:36
Pengguna Google,1,paket terlalu mahal sinyal kayak tau jelek buruk,2026-06-22 05:27:00
Pengguna Google,1,ane bg kouta blm 2 hri bru isi mnggu 9gb da hilang hri ane bgt gk di pake apa da hilang . parah bgt .... da mls ku isi kouta indosat sering bgt pls dn kouta di maling dgn tdk msuk akl,2026-06-22 05:03:07
Pengguna Google,5,mantap,2026-06-22 04:48:29
Pengguna Google,5,sangat berguna,2026-06-22 04:38:34
Pengguna Google,2,lag gajlas jaringan gj,2026-06-22 04:38:12
Pengguna Google,2,harga paket mahal tapi paket nya dikit,2026-06-22 04:31:46
Pengguna Google,1,kalau hujan sinyal jd E tolong di wilayah kepulauan riau,2026-06-22 04:27:42
Pengguna Google,5,sangat bagus,2026-06-22 04:21:53
Pengguna Google,5,sangat puas,2026-06-22 04:20:15
Pengguna Google,5,paket unlimited 500GB 1 hari 10ribu ada'in lagi dong lumayan kan buat download download game di steam.,2026-06-22 04:20:10
Pengguna Google,1,"provider ga jelas udh konfirmasi sama agent katanya udah di blokir pop up promosi tp masih ada, kalo iklan gausah maksa gw lagi nggame tbtb masuk ke web sialan ini serba salah di pencet tidak di bawa ke web kaga di pencet pun tetep dibawa ke web gajelasssss promosi gausah ganggu gw pengguna setia krtu ini bahkan e waletku pake nomor ini bpjs udh sepercaya itu sm ni provider tp ke customer seenaknya sampahhh!!!!!!!!!",2026-06-22 04:15:25
Pengguna Google,5,mantap lancar selalu dan semakin banyk promonya,2026-06-22 04:14:25
Pengguna Google,5,luar biasa bgus,2026-06-22 04:11:12
Pengguna Google,1,mau ngisi paket harus habis paket data dlu Bru bisa...padahal paket q masih TPI g bisa isi lagi,2026-06-22 04:10:51
Pengguna Google,5,provider keren,2026-06-22 04:09:25
Pengguna Google,5,sangat baik dan memudahkan,2026-06-22 04:06:04
Pengguna Google,5,keren,2026-06-22 03:52:33
Pengguna Google,5,mantap 👍👍,2026-06-22 03:49:51
Pengguna Google,5,mantap,2026-06-22 03:43:11
Pengguna Google,5,agak mahal ya koutanya,2026-06-22 03:32:24
Pengguna Google,2,mahal kuotanya,2026-06-22 03:31:38
Pengguna Google,4,"Lebih cepat ,lebih mudah,lebih hemat",2026-06-22 03:31:10
Pengguna Google,1,"aplikasi sampah,saya sering saat bermain game dan tiba2 langsung masuk ke website my3,dasar aplikasi sampah",2026-06-22 03:26:04
Pengguna Google,5,siiiiip,2026-06-22 03:18:35
Pengguna Google,5,sangat mantap bgt,2026-06-22 03:16:08
Pengguna Google,5,oke,2026-06-22 03:11:25
Pengguna Google,5,mylM3 bagus,2026-06-22 03:07:58
Pengguna Google,1,mahalll😭🥹,2026-06-22 03:07:45
Pengguna Google,5,alpikasi nya agak mahal,2026-06-22 03:03:23
Pengguna Google,1,bisa di download tapi tidak muncul di layar hp,2026-06-22 03:01:46
Pengguna Google,5,seru,2026-06-22 02:56:22
Pengguna Google,5,sangat membantu,2026-06-22 02:54:34
Pengguna Google,5,mantap,2026-06-22 02:37:32
Pengguna Google,5,jaringan nya lag banget cok tapi kalo lagi lancar² banget,2026-06-22 02:35:27
Pengguna Google,5,cukup baik,2026-06-22 02:22:10
Pengguna Google,3,Jaringan selalu lelet dan susah,2026-06-22 02:16:40
Pengguna Google,4,baik trus klau bisa hrga sdiki t ad kurang,2026-06-22 02:00:32
Pengguna Google,5,"terima kasi,,sangat membantu untuk sya",2026-06-22 01:50:17
Pengguna Google,5,mantabbb,2026-06-22 01:48:05
Pengguna Google,3,jaringan sekarang sering lelet,2026-06-22 01:40:16
Pengguna Google,5,bagusdd,2026-06-22 01:39:38
Pengguna Google,5,oke,2026-06-22 01:34:24
Pengguna Google,4,bagus,2026-06-22 01:34:17
Pengguna Google,5,keren,2026-06-22 01:33:58
Pengguna Google,5,mantap,2026-06-22 01:20:15
Pengguna Google,5,oke,2026-06-22 01:19:52
Pengguna Google,3,"cara ngirim bukti buat paketan yang masih 3 hari lagi, tapi hari ini ilang padahal masih 112GB! tulisan aktifnya ga singkron. paket aktif sampai sisa 3 hari lagi si bawah sisa kuota. tapi label jam di atas udah 0 hari. padahal yang lalu lalu singkron sama. APA INI PERNYATAAN KORUP WAKTU??????",2026-06-22 00:52:06
Pengguna Google,5,Murah Bangat,2026-06-22 00:46:08
Pengguna Google,1,lag parah,2026-06-22 00:36:26
Pengguna Google,5,oke,2026-06-22 00:27:10
Pengguna Google,1,yesel pakai Indosat area Sukabumi banyak jelek nya padahal bukan daerah pedalaman,2026-06-22 00:19:36
Pengguna Google,5,bagus,2026-06-22 00:18:30
Pengguna Google,4,paketan internet terlalu mahal,2026-06-22 00:08:24
Pengguna Google,4,pelayannya cukup memuaskan,2026-06-21 23:49:28
Pengguna Google,4,puas,2026-06-21 23:36:56
Pengguna Google,5,udah bgs jaringannya n banyak data promo pertahankan,2026-06-21 23:32:40
Pengguna Google,5,"Selalu macet kalo buka akun (ngecek data) kadang juga tiba tiba macet kalo buka myIM3 padahal ga ada masalah sinyal atau apapun. Hp sudah direstart, myIM3 juga sudah diupdate. Edit: sekarang (2026),, udah ngga macet lagi🙏🏻, kuota jg bervariasi walaupun makin mahal🤧 kangen hot promo per bulan yg 30ribu/15gb😔. Ada nomer IM3 jg di WA, jadi yaa mempermudah buat ngecek status kartu sm beli kuota. Thankyouu min, maaf dulu ngasih rate 1, thankyou sudah lebih baik apknya😊🤍",2026-06-21 23:24:44
Pengguna Google,5,bagus banget,2026-06-21 23:13:07
Pengguna Google,5,keren,2026-06-21 23:11:14
Pengguna Google,5,terjamin,2026-06-21 23:10:51
Pengguna Google,4,good,2026-06-21 23:08:24
Pengguna Google,3,Indosat harga paket udh mahal bro,2026-06-21 22:42:33
Pengguna Google,5,Bagus Sinyal nya,2026-06-21 22:33:51
Pengguna Google,5,mantap,2026-06-21 21:43:20
Pengguna Google,3,ok,2026-06-21 21:28:47
Pengguna Google,4,bagus sekali,2026-06-21 21:24:47
Pengguna Google,5,mantul deh,2026-06-21 20:44:52
Pengguna Google,4,"semakin ksini paketan nyaa mahal"" ,, tolong di permurah lgi",2026-06-21 19:59:16
Pengguna Google,1,paket 15gb giliran d beli hanya 9GB. penipuan itu mah,2026-06-21 19:57:11
Pengguna Google,1,"paket mahal"", sinyal susah",2026-06-21 19:07:23
Pengguna Google,1,"ngebug aplikasi lolot,masa tiba tiba log out pas udh login tapi belum muncul akunnya padahal verifikasi juga udah. tolong fix bug login ini. gua mau beli & cek kuota aja susah. udh sinyal lemot ditambah aplikasinya kayak lolot",2026-06-21 19:05:09
Pengguna Google,4,perbaiki jaringanmu,2026-06-21 18:51:51
Pengguna Google,1,paket semakin kecil harga smakin mahal jaringan kalo hujan jelek,2026-06-21 18:49:10
Pengguna Google,5,gas 👍 majutakgentar,2026-06-21 18:31:52
Pengguna Google,1,"internet ny sering ngelag ,padahal sinyal ny full",2026-06-21 17:41:21
Pengguna Google,3,"Aplikasi ribet, bisa gak dibikin simpel aja Yg kaya gini gak usah percuma gak bisa dipake di Indonesia - Kuota utama roam like home - Kuota rollover roam like home Gak semua hp support 5g - kuota 5g banyak percuma gak kepake juga *JUAL AJA KUOTA UTAMA 100 persen*",2026-06-21 17:36:15
Pengguna Google,1,sinyal terburuk sepanjang masa makin kesini makin lemot bukan nya makin improve malah makin down udah harga makin mahal sinyal makin lemot,2026-06-21 17:35:58
Pengguna Google,5,aplikasinya mudah dan membantu.. 👍👍👍👍👍,2026-06-21 17:34:00
Pengguna Google,5,ok,2026-06-21 17:20:24
Pengguna Google,5,bagus,2026-06-21 17:04:45
Pengguna Google,5,✌️,2026-06-21 16:56:22
Pengguna Google,1,sinyal burikkkk,2026-06-21 16:54:35
Pengguna Google,1,"ini kartu Indosat makin hari makin ganti tahun malah makin jelek sinyal nya gak ada upgrade gitu di saat semua jaringan seperti tri, XL, Telkomsel, pada upgrade semakin hari tambah bagus, kecuali Indosat makin jelek sinyal buruk pada tinggal di kota saat ini. mana pulsa sering ke sedot sendiri udh habis 45 ribu tbtb di sedot entah dari mana. buat yg mau download hati² ganti kartu aja. # boikot kartu ini jelek mna operator nya sering nyolong pulsa segala suka tiba² hilang",2026-06-21 16:54:33
Pengguna Google,1,hama,2026-06-21 16:33:52
Pengguna Google,5,sangat baik,2026-06-21 16:28:57
Pengguna Google,1,jelekk tidak puas,2026-06-21 16:24:36
Pengguna Google,3,lelet,2026-06-21 16:21:52
Pengguna Google,5,yoww,2026-06-21 16:17:52
Pengguna Google,1,"koneksi sangat buruk, keluhan konsumen seakan di abaikan. seperti tidak ada tindakan.",2026-06-21 16:16:04
Pengguna Google,5,👍bagus,2026-06-21 15:57:58
Pengguna Google,4,semoga bermanfaat,2026-06-21 15:42:33
Pengguna Google,5,paket nya agak mahal mahal😅,2026-06-21 15:42:14
Pengguna Google,5,sangat membantu,2026-06-21 15:37:46
Pengguna Google,5,"sangattt burukkk malah lebih bagusan exsis , 🗿 masaa iya kuota sebulan 32gb masih banyak kok pas main game malah ada notifikasi paket data tidak tersedia dan silahkan beli lagi 😤,, ngelantur nih developer nya ,,, mana lagi main afk terus gara gara pake sinyal M3 padahal udah lama aku pake M3 tapi ga seburuk inii 🗿,,, bacaa coment gw admin M3 jngan banyak makan mbg ajah , kredit skor gw 50 gara gara pake layanan luu 😤 ga bisa main rank maupun Cl lagii 🗿 sengaja dan sangat keberatan gw ksi5",2026-06-21 15:32:47
Pengguna Google,2,"sering lemot, padahal di area kota besar",2026-06-21 15:28:29
Pengguna Google,1,"paket sudahlah mahal, sinyal busuk pula",2026-06-21 15:26:06
Pengguna Google,5,oke,2026-06-21 15:12:38
Pengguna Google,1,"im3 tolol beli kuota gede tapi jaringan 0,8 KB/dtk.....pengaduan ke costumer service kirim nama lengkap alamat lengkap tapi ujung""nya di arahin restart HP ajah.....",2026-06-21 15:09:39
Pengguna Google,5,Good!,2026-06-21 15:03:49
Pengguna Google,5,Ok,2026-06-21 15:03:02
Pengguna Google,5,promo mantap,2026-06-21 15:01:12
Pengguna Google,3,y aj,2026-06-21 14:56:22
Pengguna Google,5,murahin daftranya dong,2026-06-21 14:53:35
Pengguna Google,5,sekarang Indosat paketnya semakin mahal,2026-06-21 14:49:28
Pengguna Google,1,"koneksi gampang putus, padahal sinyal full",2026-06-21 14:46:19
Pengguna Google,5,Bagus,2026-06-21 14:45:38
Pengguna Google,5,mantap,2026-06-21 14:44:01
Pengguna Google,1,sinyal busuk ngak bener,2026-06-21 14:43:50
Pengguna Google,5,mantap,2026-06-21 14:31:36
Pengguna Google,5,bagus,2026-06-21 14:29:37
Pengguna Google,1,"operator paling tolol Hujan sedikit sinyal hilang ....nonton video loading aja,parah! Untung cuma operator cadangan.",2026-06-21 14:28:51
Pengguna Google,5,puas,2026-06-21 14:24:23
Pengguna Google,1,"gua saranin jangan beli, sinyal nya lemot suka mati' jaringan nya, mending beli smarfen walapun harga nya naik sedikit yang penting kualitas lancar",2026-06-21 14:23:43
Pengguna Google,5,baik,2026-06-21 14:07:24
Pengguna Google,5,luar biasa sangat puas terimakasih myIm3 semoga lebih baik dan bagus lgi ke depan nya,2026-06-21 14:07:19
Pengguna Google,2,baik,2026-06-21 14:01:25
Pengguna Google,1,kuotanya mahal... kalau kuotanya masih ada seharusnya di bulan berikutnya kan masih ya ini sungguh sangat dzolim,2026-06-21 13:56:59
Pengguna Google,1,jaringan semakin lelet ngga seperti dulu padahal saya udah penggunaa lama tapi sekarang bukannya makin bagus makin lelet,2026-06-21 13:55:15
Pengguna Google,1,POP UP IKLAN YG MAKSA BUKA BROWSER ITU GANGGU BANGET.,2026-06-21 13:52:51
Pengguna Google,5,good,2026-06-21 13:51:03
Pengguna Google,1,"apk sampah, pas war tiba tiba masuk ke crome ""apk sampah"" kek yang buat",2026-06-21 13:49:41
Pengguna Google,5,sangat membantu dan mudah d mengerti,2026-06-21 13:47:32
Pengguna Google,5,"puas banget rasanya jadi enak main game,tiktok,dll walaupun harga agak mahal tapi enak,dari rumah sampe kekotaan sampe terima kasih semoga sinyal makin lancar",2026-06-21 13:38:53
Pengguna Google,5,banyak promonya,2026-06-21 13:33:37
Pengguna Google,5,sangat bagus,2026-06-21 13:31:11
Pengguna Google,5,baik,2026-06-21 13:30:19
Pengguna Google,5,oke,2026-06-21 13:21:26
Pengguna Google,5,ok,2026-06-21 13:19:37
Pengguna Google,1,"udah beberapa hari ini jaringan lemot parah, herannya terjadi tiap jam 7 malem ke atas, sebenernya kenapa? aku selalu beli paket yang mahal loh tapi dapetnya ampas kayak gini? bulan ini aku terakhir ya pake kamu cuma buat ngabisin sisa kuota, bulan depan selamat tinggal deh, bikin orang emosi aja tiap scroll sosmed muter muter terus jaringannya, ampas ampas",2026-06-21 13:10:49
Pengguna Google,5,sangat baik🥰🥰,2026-06-21 13:05:02
Pengguna Google,5,terbaik,2026-06-21 13:01:47
Pengguna Google,5,bagus,2026-06-21 12:59:20
Pengguna Google,5,sangat bagus dan membantu,2026-06-21 12:58:33
Pengguna Google,1,"makin hari makin susah ni jaringan mana sekarang paket mahal""",2026-06-21 12:57:48
Pengguna Google,3,"please indosat, pake akumulasi paket data, jadi kita beli paket data sisanya jangan sampe ilang, sayang, pake masa tenggang juga di ilangin.",2026-06-21 12:57:12
Pengguna Google,3,trimksih myim3,2026-06-21 12:54:37
Pengguna Google,1,"Tolong diperbaiki, saya sering masuk tiba-tiba ke web nya padahal lagi main game.",2026-06-21 12:51:53
Pengguna Google,5,mantap servicnya,2026-06-21 12:42:29
Pengguna Google,4,pembayaran dgn menggunakan Qris lbh mfh dan cpt..!!,2026-06-21 12:36:48
Pengguna Google,1,"makin kesini opsi kuota makin pelit, kenapa yang biasanya 30 hari jadi 28 hari??",2026-06-21 12:25:57
Pengguna Google,5,mantap,2026-06-21 12:22:32
Pengguna Google,1,"sinyal indosat tidak ada sama sekali, paket kuota tidak bisa digunakan, sudah lapor keluhan jawaban cuma suruh nunggu dari kemaren tetap tidak ada sinyal, rugi beli peketan lah klo gak bisa digunakan, iklan trs tanpa ada tanggung jwb untuk perbaikan sinyal",2026-06-21 12:21:37
Pengguna Google,5,👍👍👍,2026-06-21 12:21:08
Pengguna Google,5,pengalaman klau pket abis total gk bisa byr dri dana ku pikir bisa,2026-06-21 12:20:39
Pengguna Google,5,mantaaap,2026-06-21 12:09:11
Pengguna Google,5,Mantep,2026-06-21 12:08:39
Pengguna Google,5,Wah🫠,2026-06-21 12:01:37
Pengguna Google,1,"suka keluar pop up tiba"" ke browser",2026-06-21 12:01:03
Pengguna Google,1,"pulsa darurat yg tidak jadi dipakai, malah wajib di bayar. sangat menyusahkan dan membuat kesal",2026-06-21 11:57:21
Pengguna Google,5,mudah,2026-06-21 11:56:33
Pengguna Google,5,bagus sangat mendukung kegiatan sehari2,2026-06-21 11:53:48
Pengguna Google,1,"tlng kasih tau layanan *505#,saya tidak mau pinjam kuota sos,tp langsung di ksh, saya sangat sangat kecewa dengn im3.",2026-06-21 11:46:51
Pengguna Google,5,aplikasi bagus sekali seperti hatiku kepadamu,2026-06-21 11:45:44
Pengguna Google,3,semoga ada promo yg lebih hemat lagi😊,2026-06-21 11:44:31
Pengguna Google,2,paketnya terlalu mahal dan paket sebelumnya selalu tergantiii,2026-06-21 11:41:57
Pengguna Google,1,"Kenapa setiap ada pulsa, tdk di buat apa2 selalu di sedot im3?",2026-06-21 11:41:00
Pengguna Google,5,oke,2026-06-21 11:40:14
Pengguna Google,5,Alhamdulillah lancar,2026-06-21 11:36:28
